budget,genre,name,score,year
unknown,comedy,greenfingers,6.9,2000
unknown,adventure,american honey,7.0,2016
50000000,crime,murder by numbers,6.1,2002
24000000,drama,rocky balboa,7.2,2006
unknown,drama,in the mood for love,8.1,2000
9000000,crime,kalifornia,6.7,1993
10000000,western,posse,5.5,1993
unknown,drama,norwegian wood,6.4,2010
25000000,drama,ceguera,6.6,2008
65000000,action,el vengador del futuro,7.5,1990
70000000,action,man on fire,7.7,2004
130000000,adventure,prometheus,7.0,2012
